Name,Isomeric SMILES,Model,BetaT,GammaT,BetaV,GammaV,Fij,Tred_0,Tred_0_1,Tred_0_2,Tred_0_3,Tred_0_4,Tred_0_5,Tred_0_6,Tred_0_7,Tred_0_8,Tred_0_9,Tred_1,Dred_0,Dred_0_1,Dred_0_2,Dred_0_3,Dred_0_4,Dred_0_5,Dred_0_6,Dred_0_7,Dred_0_8,Dred_0_9,Dred_1
Methane/Helium                                            [C1/HE],C.[He],KW0,1,3.159776855,1,0.881405683,0,5.1953,24.00977915,42.76256737,61.45366468,80.08307106,98.65078652,117.1568111,135.6011447,153.9837874,172.3047391,190.564,17.3837,16.75678681,16.06048854,15.31697668,14.54659728,13.76703199,12.99289677,12.23569391,11.50401126,10.80386844,10.139128
Methane/Carbon monoxide                                   [C1/CO],C.[C-]#[O+],KW0,0.987411732,0.987473033,0.997340772,1.006102927,0,132.86,137.5185935,142.5493995,147.9063169,153.5427786,159.4117457,165.4657012,171.6566442,177.9360839,184.2550325,190.564,10.85,10.76733321,10.68561502,10.60551532,10.52766515,10.45265975,10.38106216,10.3134074,10.25020698,10.19195392,10.139128
Methane/Argon                                             [C1/AR],C.[Ar],KW0,0.990954281,0.989843388,1.034630259,1.014678542,0,150.687,153.9353565,157.4443241,161.1782434,165.1011962,169.1770033,173.3692218,177.6411434,181.9557909,186.2759167,190.564,13.40742965,12.89541328,12.4711408,12.10969888,11.79201657,11.50305776,11.23072867,10.96522452,10.6986515,10.42481891,10.139128
Methane/Oxygen                                            [C1/O2],C.O=O,KW0,1,0.95,1,1,0,154.599,156.4816258,158.7451125,161.3894602,164.4146688,167.8207383,171.6076688,175.7754602,180.3241125,185.2536258,190.564,13.342189,12.94991031,12.57661655,12.22100849,11.88190182,11.55821476,11.24895717,10.95322115,10.67017264,10.39904409,10.139128
Methane/Ethylene                                          [C1/ETY],C.C=C,KW0,1.004,1.021,1,0.99,0.106,282.35,273.3751069,264.2940987,255.1299209,245.9054453,236.6434708,227.3667235,218.0978572,208.8594534,199.6740216,190.564,7.63676598,7.851063522,8.072772976,8.3021199,8.539326734,8.78461084,9.038182243,9.300241027,9.570974361,9.850553109,10.139128
Methane/Hydrogen sulfide                                  [C1/H2S],C.S,KW0,1.011090031,0.961155729,1.012599087,1.040161207,0,373.1,350.6561296,328.9597215,308.0807347,288.0885101,269.0517765,251.0386576,234.1166791,218.3527743,203.8132915,190.564,10.19,10.09278023,10.02572031,9.984478133,9.965294871,9.964817789,9.97996334,10.00780992,10.04551354,10.09024234,10.139128
Methane/Ammonia                                           [C1/NH3],C.N,KW0,1.022371,0.940156,1.006058,1.069834,0,405.56,378.2908244,351.9221136,326.6014633,302.4738455,279.6816669,258.3648249,238.6607632,220.7045248,204.6288046,190.564,13.696,13.05310518,12.50926224,12.04538037,11.64695739,11.30276408,11.00395461,10.74345008,10.51550207,10.31537765,10.139128
Methane/Methanol                                          [C1/MEO],C.CO,KW0,0.972,1.308,0.713,1.137,1.276,513.38,489.719996,464.858506,438.5381503,410.4957363,380.4620933,348.1619021,313.3135179,275.628788,234.8128629,190.564,8.78517,9.135606623,9.319188334,9.345231054,9.248504876,9.081888097,8.908730853,8.800821833,8.848026943,9.192671621,10.139128
Methane/Hexane                                            [C1/C6],C.CCCCCC,KW0,0.981844797,1.330570181,0.958015294,1.052643846,0,507.82,486.6563794,463.6186713,438.53401,411.2270056,381.5196973,349.231507,314.1791901,276.1767868,235.0355713,190.564,2.706,2.959663511,3.24908121,3.58344013,3.97584223,4.44560068,5.022326405,5.753678443,6.72129291,8.077130985,10.139128
Methane/Ethanol                                           [C1/ETO],C.CCO,KW0,0.954,1.366,1,1,1.486,514.71,492.950838,470.030038,445.5245104,418.9953868,389.9872772,358.0274856,322.6251795,283.2705121,239.4336923,190.564,5.93,6.208358521,6.508857944,6.834106884,7.18713409,7.571476193,7.991288374,8.45148525,8.957922074,9.517630357,10.139128
Methane/Cyclohexane                                       [C1/CC6],C.C1CCCCC1,KW0,1,1.3145,1,1.0835,-0.3986,553.6,527.1730016,498.5512028,467.7346037,434.7232042,399.5170044,362.1160042,322.5202037,280.7296028,236.7442016,190.564,3.224,3.469274155,3.752516284,4.0832484,4.474466342,4.944382895,5.519337606,6.238898711,7.165360513,8.402794809,10.139128
Methane/Heptane                                           [C1/C7],C.CCCCCCC,KW0,0.977431529,1.379850328,0.962050831,1.156655935,0,540.2,517.7080361,493.0709312,466.0612471,436.4474118,403.9936251,368.4597617,329.6012716,287.1690776,240.9094704,190.564,2.33,2.53795092,2.778305328,3.06084672,3.39995555,3.817594146,4.348951471,5.054002359,6.043752281,7.548801011,10.139128
Methane/Water                                             [C1/H2O],C.O,KW0,1.063333913,0.775810513,1.012783169,1.585018334,0,647.096,577.5245727,512.1029942,451.3067228,395.5875984,345.3752911,301.0786443,263.0869218,231.7709657,207.4842733,190.564,17.873728,14.70554782,12.78344103,11.53939151,10.7136006,10.17273465,9.844042724,9.687822132,9.685034784,9.831985145,10.139128
Methane/Toluene                                           [C1/TOL],C.CC1=CC=CC=C1,KW0,0.967,1.34,0.961,1.085,1.313,591.75,560.0585951,527.4161861,493.4931502,457.9510781,420.4424792,380.6104747,338.0884788,292.4998661,243.4576255,190.564,3.169,3.426124494,3.715783601,4.04651799,4.430498145,4.885554946,5.438723026,6.132810925,7.039534661,8.28842014,10.139128
Methane/Octane                                            [C1/C8],C.CCCCCCCC,KW0,0.957473785,1.449245409,0.994740603,1.116549372,0,568.74,545.5030781,520.2738788,492.6124161,462.0635487,428.156322,390.4032755,348.2997129,301.3229339,248.9314239,190.564,2.031,2.227862572,2.460851559,2.740911064,3.083918057,3.513815824,4.068483497,4.811603684,5.859147199,7.446904435,10.139128
Methane/Nonane                                            [C1/C9],C.CCCCCCCCC,KW0,0.947716769,1.528532478,1.002852287,1.141895355,0,594.55,572.1629519,547.4119923,519.7278089,488.5169147,453.1603511,413.0123069,367.3986456,315.6153358,256.9267749,190.564,1.81,1.988737686,2.202301809,2.461699145,2.783099985,3.191266012,3.726126743,4.45648831,5.511890127,7.168572445,10.139128
Methane/Decane                                            [C1/C10],C.CCCCCCCCCC,KW0,0.937777823,1.568231489,1.033086292,1.146089637,0,617.7,594.1732404,568.4019784,539.6953071,507.3273094,470.5348117,428.5149629,380.4226218,325.3675353,262.4112879,190.564,1.64,1.803820336,2.003014826,2.249025799,2.55875073,2.958187047,3.489440343,4.225369651,5.303723333,7.01962948,10.139128
Helium/Nitrogen                                           [HE/N2],[He].N#N,KW0,1.443274759,1.47183158,1.031458393,0.932629867,0,126.192,111.1011575,95.27699853,79.54376725,64.47656457,50.48886958,37.88558862,26.8964967,17.69803592,10.42794059,5.1953,11.1839,11.70402775,12.26964962,12.87786602,13.52337645,14.19766756,14.88815097,15.57737499,16.24251736,16.85544874,17.3837
Helium/Carbon monoxide                                    [HE/CO],[He].[C-]#[O+],KW0,1,1,1,1,0,132.86,112.3976143,93.64543211,76.60345339,61.27167816,47.65010642,35.73873816,25.53757339,17.04661211,10.26585431,5.1953,10.85,11.304813,11.79188216,12.31458619,12.87678569,13.48291194,14.13807584,14.84820307,15.62020253,16.46217847,17.3837
Helium/Argon                                              [HE/AR],[He].[Ar],KW0,1,1,1,1,0,150.687,127.1447708,105.6009992,86.0556852,68.50882879,52.96042999,39.41048879,27.8590052,18.3059792,10.7514108,5.1953,13.40742965,13.73379356,14.07352025,14.42740938,14.79632493,15.18120172,15.58305284,16.00297797,16.4421728,16.90193973,17.3837
Helium/Oxygen                                             [HE/O2],[He].O=O,KW0,1,1,1,1,0,154.599,130.3784465,108.220156,88.12412845,70.09036394,54.11886244,40.20962394,28.36264845,18.57793596,10.85548648,5.1953,13.342189,13.67266291,14.01690734,14.37576118,14.75013196,15.14100309,15.54944181,15.97660841,16.42376647,16.89229465,17.3837
Helium/Ethane                                             [HE/C2],[He].CC,KW0,1,1,1,1,0,305.322,254.5317448,208.3587307,166.8029578,129.864426,97.54313545,69.83908603,46.75227778,28.28271069,14.43038476,5.1953,6.856886685,7.364072807,7.935272636,8.582632786,9.321517647,10.17164365,11.15872881,12.31695277,13.69273337,15.35072156,17.3837
Helium/Carbon dioxide                                     [HE/CO2],[He].C(=O)=O,KW0,1.301443406,3.207456948,1.181129015,0.864141549,0,304.1282,274.3252243,241.4772382,207.174568,172.6620859,138.9281785,106.7675669,76.82652556,49.63599653,25.63621792,5.1953,10.6249063,11.11758644,11.75982108,12.53422126,13.41710006,14.37078921,15.33634024,16.22905611,16.94139306,17.3580555,17.3837
Helium/Hydrogen sulfide                                   [HE/H2S],[He].S,KW0,1,1,1,1,0,373.1,310.1877919,253.0804146,201.7778679,156.2801519,116.5872665,82.69921186,54.61598788,32.33759457,15.86403195,5.1953,10.19,10.66658229,11.18093227,11.7374828,12.34137788,12.99862056,13.71625933,14.50262522,15.36763631,16.32319338,17.3837
Helium/Propane                                            [HE/C3],[He].CCC,KW0,1,1,1,1,0,369.89,307.5535273,250.9652774,200.1252503,155.033446,115.6898646,82.09450604,54.24737028,32.14845736,15.79776726,5.1953,5,5.459609674,5.991542077,6.613057244,7.347245645,8.225696774,9.292777206,10.61277624,12.28244228,14.45433453,17.3837
Helium/Isobutane                                          [HE/C4I],[He].CC(C)C,KW0,1,1,1,1,0,407.81,338.6633247,275.9355839,219.6267777,169.7369059,126.2659687,89.21396592,58.58089768,34.36676395,16.57156472,5.1953,3.879756788,4.28449891,4.761625207,5.330873035,6.019667227,6.867228948,7.931626384,9.302554917,11.126125,13.65725564,17.3837
Helium/Butane                                             [HE/C4],[He].CCCC,KW0,1,1,1,1,0,425.125,352.8625364,287.326627,228.5172717,176.4344705,131.0782234,92.44853046,60.54539165,35.36880697,16.91877642,5.1953,3.922769613,4.330017387,4.809741552,5.381604081,6.072883359,6.922520779,7.988045354,9.358083017,11.17651695,13.69327789,17.3837
Helium/Isopentane                                         [HE/C5I],[He].CCC(C)C,KW0,1,1,1,1,0,460.35,381.7382745,310.4812724,246.5789938,190.0314386,140.8386069,99.0004986,64.51711377,37.3884524,17.61451447,5.1953,3.271,3.636627203,4.072353203,4.598726547,5.244944853,6.053888788,7.09112117,8.462040847,10.34733775,13.08443825,17.3837
Helium/Pentane                                            [HE/C5],[He].CCCCC,KW0,1,1,1,1,0,469.659,389.3671225,316.5964688,251.3470391,193.6188332,143.4118513,100.7260932,65.56155907,37.91824881,17.79616246,5.1953,3.25991,3.624759502,4.059647863,4.585133262,5.230439309,6.038506442,7.075029189,8.445699392,10.33188983,13.07275902,17.3837
Helium/Hexane                                             [HE/C6],[He].CCCCCC,KW0,1,1,1,1,0,507.82,420.6317023,341.6491442,270.8723255,208.3012463,153.9359065,107.7763063,69.82244548,40.07432418,18.53194235,5.1953,2.706,3.028871018,3.417832965,3.893622398,4.486364974,5.241498853,6.23080896,7.574572753,9.490488538,12.41668064,17.3837
Helium/Heptane                                            [HE/C7],[He].CCCCCCC,KW0,1,1,1,1,0,540.2,447.1497086,362.8882664,287.4156733,220.7319295,162.8370349,113.7309895,73.41379334,41.88544635,19.14594857,5.1953,2.33,2.620690044,2.973595928,3.409160028,3.957550676,4.665144517,5.606963284,6.912587615,8.826317613,11.8692427,17.3837
Helium/Water                                              [HE/H2O],[He].O,KW0,1,1,1,1,0,647.096,534.6363884,432.9033417,341.8968597,261.6169425,192.0635901,133.2368025,85.1365797,47.76292168,21.11582844,5.1953,17.873728,17.8236944,17.77389397,17.72432515,17.67498639,17.62587615,17.57699291,17.52833516,17.47990141,17.43169018,17.3837
Helium/Octane                                             [HE/C8],[He].CCCCCCCC,KW0,1,1,1,1,0,568.74,470.5157645,381.5959212,301.9804704,231.6694119,170.6627457,118.9604719,76.56259039,43.46910125,19.68000445,5.1953,2.031,2.293807801,2.614945448,3.014310671,3.521656576,4.183460594,5.076434712,6.336591409,8.229689154,11.3530824,17.3837
Helium/Nonane                                             [HE/C9],[He].CCCCCCCCC,KW0,1,1,1,1,0,594.55,491.6414145,398.5046325,315.1396539,241.5464787,177.725107,123.6755387,79.39777386,44.89181247,20.15765451,5.1953,1.81,2.050809273,2.346559374,2.71653074,3.189847868,3.812576228,4.661953206,5.877783347,7.741182723,10.91184189,17.3837
Helium/Decane                                             [HE/C10],[He].CCCCCCCCCC,KW0,1,1,1,1,0,617.7,510.5858169,413.66357,326.9332593,250.394885,184.0484468,127.893945,81.93137935,46.16074998,20.58205686,5.1953,1.64,1.863037566,2.138078843,2.483784557,2.928572784,3.517842498,4.328684501,5.503000948,7.332935578,10.52930016,17.3837
Hydrogen/Neon                                             [H2/NE],[HH].[Ne],KW0,1.00705,0.7819,0.8285,1.2007,0.1617,44.4,41.72496665,39.38065462,37.37222158,35.70479614,34.38347811,33.41333867,32.7994206,32.54673842,32.66027866,33.145,24.1,22.78189925,21.34655997,19.92617743,18.61293715,17.46588775,16.52254668,15.81127578,15.36390301,15.23114256,15.508
Hydrogen/Nitrogen                                         [H2/N2],[HH].N#N,KW0,1.056932362,1.175696583,1.028243732,0.970115357,0,126.192,116.8452428,107.2169704,97.42489352,87.58145563,77.79412454,68.16566447,58.7943906,49.77440731,41.19583117,33.145,11.1839,11.53575691,11.92255337,12.34100456,12.78652708,13.25281911,13.73143442,14.21139989,14.67895423,15.11751508,15.508
Hydrogen/Carbon monoxide                                  [H2/CO],[HH].[C-]#[O+],KW0,1,1.377504607,1,1.121416201,0,132.86,124.4020579,115.6077696,106.477135,97.01015433,87.20682743,77.06715433,66.59113504,55.77876956,44.63005788,33.145,10.85,10.99584688,11.18850609,11.43276189,11.73503677,12.10384779,12.55046997,13.08991192,13.74237862,14.53552042,15.508
Hydrogen/Argon                                            [H2/AR],[HH].[Ar],KW0,1,1,1,1,0,150.687,135.108866,120.3804952,106.5018874,93.47304275,81.2939612,69.96464275,59.48508741,49.85529517,41.07526603,33.145,13.40742965,13.59560198,13.78819995,13.98537474,14.18728441,14.39409433,14.60597752,14.82311521,15.04569722,15.27392258,15.508
Hydrogen/Oxygen                                           [H2/O2],[HH].O=O,KW0,1,1,1,1,0,154.599,138.4416529,123.1758496,108.8015901,95.31887435,82.72770244,71.02807435,60.21999005,50.30344956,41.27845288,33.145,13.342189,13.53548594,13.73347649,13.93632622,14.14420851,14.35730497,14.57580598,14.7999112,15.02983011,15.26578268,15.508
Hydrogen/Ethane                                           [H2/C2],[HH].CC,KW0,1.07184602,1.902008495,1.080652125,1.10607204,0,305.322,284.0160485,260.4616465,235.0442798,208.1277712,180.055782,151.1531887,121.7273497,92.06927006,62.45467507,33.145,6.856886685,7.149513242,7.529541838,8.005489465,8.589603677,9.298006176,10.15081624,11.17197381,12.38825572,13.82657245,15.508
Hydrogen/Carbon dioxide                                   [H2/CO2],[HH].C(=O)=O,KW0,1.061210409,1.782924792,1.106020762,1.15279255,0,304.1282,280.4428208,255.2602535,228.8811063,201.5915457,173.6641532,145.3587221,116.9229985,88.5933717,60.59551794,33.145,10.6249063,10.58493565,10.70397387,10.9584272,11.33402618,11.82121397,12.41174522,13.0955757,13.85755899,14.67380522,15.508
Hydrogen/Hydrogen sulfide                                 [H2/H2S],[HH].S,KW0,1,1,1,1,0,373.1,322.5592266,275.6951805,232.507862,192.9972708,157.1634071,125.0062708,96.52586197,71.72218055,50.59522656,33.145,10.19,10.57542218,10.98547713,11.4224844,11.88906005,12.38816532,12.92316537,13.49790029,14.11677167,14.78484882,15.508
Hydrogen/Propane                                          [H2/C3],[HH].CCC,KW0,1,2.308215191,1,1.07400611,0,369.89,345.9461924,319.8400087,291.5714489,261.140513,228.5472011,193.791513,156.8734489,117.7930087,76.55019239,33.145,5,5.382259644,5.822884567,6.336258102,6.941910305,7.667046072,8.550725803,9.651112956,11.05877891,12.9229273,15.508
Hydrogen/Isobutane                                        [H2/C4I],[HH].CC(C)C,KW0,1,1.895305393,1,1.147595688,0,407.81,370.3209236,332.8368642,295.3578217,257.8837963,220.4147878,182.9507963,145.4918217,108.0378642,70.5889236,33.145,3.879756788,4.197289386,4.570629612,5.015904707,5.556118181,6.225251918,7.075702698,8.192710786,9.724875729,11.95646135,15.508
Hydrogen/Butane                                           [H2/C4],[HH].CCCC,KW0,1,2.509259945,1,1.232939523,0,425.125,398.2975991,368.7211762,336.3957313,301.3212644,263.4977754,222.9252644,179.6037313,133.5331762,84.71359914,33.145,3.922769613,4.203534428,4.536794883,4.938354851,5.431092464,6.04941561,6.847570253,7.916343029,9.420056275,11.68992115,15.508
Hydrogen/Isopentane                                       [H2/C5I],[HH].CCC(C)C,KW0,1,1.996386669,1,1.184340443,0,460.35,417.6034278,374.8626493,332.1276648,289.398474,246.6750771,203.957474,161.2456648,118.5396493,75.83942775,33.145,3.271,3.554309409,3.890524863,4.295989,4.79454803,5.422416646,6.237391839,7.337745208,8.905172067,11.317164,15.508
Hydrogen/Pentane                                          [H2/C5],[HH].CCCCC,KW0,1,2.013859174,1,1.188334783,0,469.659,425.982673,382.3118854,338.646637,294.986928,251.3327584,207.684128,164.041037,120.4034854,76.77147301,33.145,3.25991,3.541411186,3.875602457,4.278803315,4.774848596,5.399977457,6.212109747,7.309911059,8.876268971,11.29253951,15.508
Hydrogen/Hexane                                           [H2/C6],[HH].CCCCCC,KW0,1,3.021197546,1,1.243461678,0,507.82,482.218659,451.7581716,416.4385377,376.2597573,331.2218306,281.3247573,226.5685377,166.9531716,102.478659,33.145,2.706,2.948624862,3.239273301,3.593769297,4.035746725,4.602145731,5.354111329,6.40070236,7.957257773,10.51656317,15.508
Hydrogen/Heptane                                          [H2/C7],[HH].CCCCCCC,KW0,1,3.169143057,1,1.159131722,0,540.2,514.224397,482.7532614,445.7865931,403.3243921,355.3666584,301.9133921,242.9645931,178.5202614,108.580397,33.145,2.33,2.573992962,2.867346033,3.22639061,3.675532882,4.252946193,5.021868919,6.095212392,7.696242399,10.33697619,15.508
Hydrogen/Water                                            [H2/H2O],[HH].O,KW0,1,1,1,1,0,647.096,550.8404524,462.3316709,381.5696556,308.5544064,243.2859233,185.7642064,135.9892556,93.96107091,59.67965239,33.145,17.873728,17.61079643,17.35427233,17.10393288,16.85956539,16.62096671,16.38794271,16.1603078,15.93788444,15.72050273,15.508
Hydrogen/Octane                                           [H2/C8],[HH].CCCCCCCC,KW0,1,2.191555216,1,1.305249405,0,568.74,515.1723671,461.6065415,408.0425232,354.4803123,300.9199086,247.3613123,193.8045232,140.2495415,86.6963671,33.145,2.031,2.22700483,2.464144979,2.756884275,3.127367743,3.611301213,4.270207857,5.219911153,6.707402442,9.369854186,15.508
Hydrogen/Nonane                                           [H2/C9],[HH].CCCCCCCCC,KW0,1,2.23435404,1,1.342647661,0,594.55,538.3752371,482.2080882,426.0485533,369.8966323,313.7523253,257.6156323,201.4865533,145.3650882,89.25123712,33.145,1.81,1.987182765,2.202322128,2.469076027,2.808548192,3.255162744,3.86914285,4.766251838,6.201005167,8.863495637,15.508
Hydrogen/Decane                                           [H2/C10],[HH].CCCCCCCCCC,KW0,0.939127547,3.786003724,0.589845788,1.120233729,0,617.7,593.3370961,563.3897107,527.1749521,483.9760878,433.0404216,373.5770092,304.7541976,225.6969721,135.4840924,33.145,1.64,1.902824258,2.212179924,2.573269856,2.991042407,3.472844068,4.03771088,4.743300543,5.769776231,7.785460676,15.508
Neon/Xenon                                                [NE/XE],[Ne].[Xe],KW0,1,1.283,0.894,1.213,1,289.733,261.3209945,233.7709235,207.0827871,181.2565853,156.292318,132.1899853,108.9495871,86.57112352,65.05459448,44.4,8.4,8.968338821,9.573287895,10.23168418,10.97101861,11.83540185,12.89656685,14.2761759,16.19608251,19.10800301,24.1
Nitrogen/Oxygen                                           [N2/O2],N#N.O=O,KW0,0.997190589,0.995157044,0.99952177,0.997082328,0,154.599,151.4505998,148.3955064,145.4244083,142.5279728,139.6968465,136.9216548,134.1930018,131.5014706,128.8376232,126.192,13.342189,13.10449691,12.87150945,12.64332277,12.42000819,12.20161475,11.98817152,11.77968975,11.57616492,11.37757856,11.1839
Nitrogen/Ethylene                                         [N2/ETY],N#N.C=C,KW0,1,1.036,1,1.058,0.269,282.35,265.1653718,248.329372,231.8420008,215.703258,199.9131438,184.471658,169.3788008,154.634572,140.2389718,126.192,7.63676598,7.831352525,8.049044063,8.292908333,8.566655522,8.874808238,9.222929246,9.617931161,10.06850458,10.58572105,11.1839
Nitrogen/Hydrogen sulfide                                 [N2/H2S],N#N.S,KW0,1.004692366,0.9601742,0.910394249,1.256844157,0,373.1,341.1151928,310.6884447,281.8434722,254.6039029,228.9932758,205.035042,182.7525647,162.1691203,143.3078977,126.192,10.19,9.99800689,9.812520268,9.652067176,9.534278707,9.47718549,9.501319437,9.633049436,9.910222115,10.39265357,11.1839
Nitrogen/Propane                                          [N2/C3],N#N.CCC,KW0,1.002677329,1.201264026,0.974424681,1.081025408,0,369.89,347.6885263,324.9606248,301.7230747,277.9926192,253.7859659,229.1197866,204.0107174,178.475359,152.5302766,126.192,5,5.288936467,5.606769305,5.960901162,6.361386372,6.822114661,7.362706564,8.011680859,8.812019873,9.831558783,11.1839
