BetaT,GammaT,BetaV,GammaV,Fij,SMILES_part1,SMILES_part2
1.0,3.159776855,1.0,0.881405683,0.0,C,[He]
0.987411732,0.987473033,0.997340772,1.006102927,0.0,C,[C-]#[O+]
0.990954281,0.989843388,1.034630259,1.014678542,0.0,C,[Ar]
1.0,0.95,1.0,1.0,0.0,C,O=O
1.004,1.021,1.0,0.99,0.106,C,C=C
1.011090031,0.961155729,1.012599087,1.040161207,0.0,C,S
1.022371,0.940156,1.006058,1.069834,0.0,C,N
0.972,1.308,0.713,1.137,1.276,C,CO
0.981844797,1.330570181,0.958015294,1.052643846,0.0,C,CCCCCC
0.954,1.366,1.0,1.0,1.486,C,CCO
1.0,1.3145,1.0,1.0835,-0.3986,C,C1CCCCC1
0.977431529,1.379850328,0.962050831,1.156655935,0.0,C,CCCCCCC
1.063333913,0.775810513,1.012783169,1.585018334,0.0,C,O
0.967,1.34,0.961,1.085,1.313,C,Cc1ccccc1
0.957473785,1.449245409,0.994740603,1.116549372,0.0,C,CCCCCCCC
0.947716769,1.528532478,1.002852287,1.141895355,0.0,C,CCCCCCCCC
0.937777823,1.568231489,1.033086292,1.146089637,0.0,C,CCCCCCCCCC
1.443274759,1.47183158,1.031458393,0.932629867,0.0,[He],N#N
1.0,1.0,1.0,1.0,0.0,[He],[C-]#[O+]
1.0,1.0,1.0,1.0,0.0,[He],[Ar]
1.0,1.0,1.0,1.0,0.0,[He],O=O
1.0,1.0,1.0,1.0,0.0,[He],CC
1.301443406,3.207456948,1.181129015,0.864141549,0.0,[He],O=C=O
1.0,1.0,1.0,1.0,0.0,[He],S
1.0,1.0,1.0,1.0,0.0,[He],CCC
1.0,1.0,1.0,1.0,0.0,[He],CC(C)C
1.0,1.0,1.0,1.0,0.0,[He],CCCC
1.0,1.0,1.0,1.0,0.0,[He],CCC(C)C
1.0,1.0,1.0,1.0,0.0,[He],CCCCC
1.0,1.0,1.0,1.0,0.0,[He],CCCCCC
1.0,1.0,1.0,1.0,0.0,[He],CCCCCCC
1.0,1.0,1.0,1.0,0.0,[He],O
1.0,1.0,1.0,1.0,0.0,[He],CCCCCCCC
1.0,1.0,1.0,1.0,0.0,[He],CCCCCCCCC
1.0,1.0,1.0,1.0,0.0,[He],CCCCCCCCCC
1.00705,0.7819,0.8285,1.2007,0.1617,[HH],[Ne]
1.056932362,1.175696583,1.028243732,0.970115357,0.0,[HH],N#N
1.0,1.377504607,1.0,1.121416201,0.0,[HH],[C-]#[O+]
1.0,1.0,1.0,1.0,0.0,[HH],[Ar]
1.0,1.0,1.0,1.0,0.0,[HH],O=O
1.07184602,1.902008495,1.080652125,1.10607204,0.0,[HH],CC
1.061210409,1.782924792,1.106020762,1.15279255,0.0,[HH],O=C=O
1.0,1.0,1.0,1.0,0.0,[HH],S
1.0,2.308215191,1.0,1.07400611,0.0,[HH],CCC
1.0,1.895305393,1.0,1.147595688,0.0,[HH],CC(C)C
1.0,2.509259945,1.0,1.232939523,0.0,[HH],CCCC
1.0,1.996386669,1.0,1.184340443,0.0,[HH],CCC(C)C
1.0,2.013859174,1.0,1.188334783,0.0,[HH],CCCCC
1.0,3.021197546,1.0,1.243461678,0.0,[HH],CCCCCC
1.0,3.169143057,1.0,1.159131722,0.0,[HH],CCCCCCC
1.0,1.0,1.0,1.0,0.0,[HH],O
1.0,2.191555216,1.0,1.305249405,0.0,[HH],CCCCCCCC
1.0,2.23435404,1.0,1.342647661,0.0,[HH],CCCCCCCCC
0.939127547,3.786003724,0.589845788,1.120233729,0.0,[HH],CCCCCCCCCC
1.0,1.283,0.894,1.213,1.0,[Ne],[Xe]
0.997190589,0.995157044,0.99952177,0.997082328,0.0,N#N,O=O
1.0,1.036,1.0,1.058,0.269,N#N,C=C
1.004692366,0.9601742,0.910394249,1.256844157,0.0,N#N,S
1.002677329,1.201264026,0.974424681,1.081025408,0.0,N#N,CCC
1.0,0.9745,1.0,1.1249,1.6257,N#N,N
1.0,1.1633,1.0,0.9861,1.1162,N#N,COC
0.99286813,1.284462634,0.98641583,1.100576129,0.0,N#N,CC(C)C
0.994515234,1.304886838,0.99608261,1.146949309,0.0,N#N,CCCC
1.0,1.38177077,1.0,1.154135439,0.0,N#N,CCC(C)C
1.0,1.419029041,1.0,1.078877166,0.0,N#N,CCCCC
0.9474,1.3697,0.8725,1.2294,2.2557,N#N,C1CCCC1
1.0,1.472607971,1.0,1.195952177,0.0,N#N,CCCCCC
0.927,1.666,1.0,1.0,0.778,N#N,CCO
1.0,1.435,1.0,1.0,0.257,N#N,c1ccccc1
1.0,1.442,1.0,1.0177,0.735,N#N,C1CCCCC1
1.0,1.520975334,1.0,1.40455409,0.0,N#N,CCCCCCC
1.0,1.733280051,1.0,1.186067025,0.0,N#N,CCCCCCCC
0.95637945,1.749119996,1.0,1.100405929,0.0,N#N,CCCCCCCCC
0.957934447,1.822157123,1.0,1.0,0.0,N#N,CCCCCCCCCC
0.927,1.949,1.0,1.0,0.898,N#N,CCCCCCCCCCCC
1.0,0.954215746,1.0,1.159720623,0.0,[C-]#[O+],[Ar]
1.0,1.069224728,1.0,1.201417898,0.0,[C-]#[O+],CC
0.993245,1.068392,1.030855,1.245499,0.0,[C-]#[O+],O=C=O
1.025536736,1.022749748,0.795660392,1.101731308,0.0,[C-]#[O+],S
1.0,1.197564208,1.0,1.108143673,0.0,[C-]#[O+],CCC
1.0,1.161390082,1.0,1.087272232,0.0,[C-]#[O+],CC(C)C
1.0,1.173916162,1.0,1.084740904,0.0,[C-]#[O+],CCCC
1.0,1.199326059,1.0,1.116694577,0.0,[C-]#[O+],CCC(C)C
1.0,1.206043295,1.0,1.119954454,0.0,[C-]#[O+],CCCCC
1.0,1.233272781,1.0,1.155145836,0.0,[C-]#[O+],CCCCCC
1.0,1.256123503,1.0,1.190354273,0.0,[C-]#[O+],CCCCCCC
1.0,1.276565536,1.0,1.219206702,0.0,[C-]#[O+],CCCCCCCC
1.0,1.294070556,1.0,1.252151449,0.0,[C-]#[O+],CCCCCCCCC
0.952748775,1.803567587,1.0,0.87018496,0.0,[C-]#[O+],CCCCCCCCCC
1.0,1.245039498,1.0,1.214638734,0.0,[Ar],CCCC
0.948047023,1.0466,1.0,1.0,0.6362,[Kr],O=C=O
1.0,0.991,1.0,1.008,0.025,C=C,CC
1.0,0.957,0.986193294,0.991,0.014,C=C,O=C=O
0.99009901,1.09,1.0,1.0,0.4,C=C,CCC(C)C
0.99009901,1.1,1.0,1.0,0.48,C=C,CCCCC
0.995024876,1.106,1.0,1.096,0.649,C=C,CCCCCC
0.985221675,1.15,1.0,1.085,0.799,C=C,CCCCCCC
0.973709834,1.2,1.0,1.072,0.942,C=C,CCCCCCCC
0.968054211,1.23,1.0,1.064,1.09,C=C,CCCCCCCCC
0.957854406,1.26,1.0,1.058,1.24,C=C,CCCCCCCCCC
0.986318629,0.90094953,0.997480645,1.032876701,0.0,CC,O=C=O
0.990197354,0.90273666,1.010817909,1.030988277,0.0,CC,S
0.996199694,1.01473019,0.997607277,1.00303472,0.130424765,CC,CCC
1.0,1.033283811,1.0,1.006616886,0.260632376,CC,CC(C)C
0.999130554,1.034832749,0.999157205,1.006179146,0.281570073,CC,CCCC
1.0,1.021150247,1.0,1.045439935,0.0,CC,CCC(C)C
0.998688946,1.066665676,0.993851009,1.026085655,0.0,CC,CCCCC
1.004722194,0.9769,1.0,1.0,2.1862,CC,CC(C)=O
0.977,1.011,1.0,1.0,2.751,CC,CO
1.0,1.092177796,1.0,1.169701102,0.0,CC,CCCCCC
1.0,1.134532014,1.0,1.057666085,0.0,CC,CCCCCCC
1.0,1.0,1.0,1.0,0.0,CC,O
0.984068272,1.168636194,1.007469726,1.071917985,0.0,CC,CCCCCCCC
1.0,1.05603303,1.0,1.14353473,0.0,CC,CCCCCCCCC
0.970918061,1.237191558,0.995676258,1.098361281,0.0,CC,CCCCCCCCCC
1.016034583,0.92601888,0.906630564,1.024085837,0.0,O=C=O,S
0.997,0.945,1.096,1.014,-0.362,O=C=O,C=CC
1.033620538,0.908772477,0.996898004,1.047596298,0.0,O=C=O,CCC
1.017,1.0,1.0,1.015,-0.657,O=C=O,C=C(F)C(F)(F)F
1.0,1.023,1.0,1.0,-0.084,O=C=O,FC=CC(F)(F)F
1.023339824,0.929982936,1.076551882,1.081909003,0.0,O=C=O,CC(C)C
1.018171004,0.911498231,1.174760923,1.222437324,0.0,O=C=O,CCCC
1.027000795,0.979217302,1.024311498,1.068406078,0.0,O=C=O,CCCCC
0.97837785,1.0433,1.0,1.1177,1.6093,O=C=O,CC(C)=O
0.996,1.015,1.026,1.236,1.77,O=C=O,CO
1.0,1.038675574,1.0,0.851343711,0.0,O=C=O,CCCCCC
1.0,1.0,1.19,1.0106,0.0184,O=C=O,C1CCCCC1
0.967,1.0856,1.0,0.9916,1.5222,O=C=O,COC(=O)OC
1.011806317,1.046169823,1.205469976,1.164585914,0.0,O=C=O,CCCCCCC
1.0,1.024,1.047,1.134,1.257,O=C=O,Cc1ccccc1
1.02969078,1.074455386,1.026169373,1.104043935,0.0,O=C=O,CCCCCCCC
1.00768862,1.140671202,1.0,0.973386152,0.0,O=C=O,CCCCCCCCC
1.02002879,1.145512213,1.000151132,1.183394668,0.0,O=C=O,CCCCCCCCCC
1.0,1.258,1.0,1.0,-1.539,O=C=O,CCCCCCCCCCCC
1.007482009,0.905829247,1.067450923,1.010593999,0.0,S,CCC
1.02611404,0.937130844,0.987172258,0.988591117,0.0,S,CC(C)C
1.01423696,0.926156602,1.101184347,1.033366041,0.0,S,CCCC
1.0,0.982651529,1.0,0.835763343,0.0,S,CCC(C)C
1.039493853,0.959065662,1.01562725,1.076539234,0.0,S,CCCCC
1.014310796,0.956075596,1.325426795,1.339283552,0.0,S,CCCCCC
1.011186333,1.013453092,1.206320399,1.087956749,0.0,S,CCCCCCC
1.0,0.940587083,1.0,1.014832832,0.0,S,O
1.0,1.086557826,1.0,1.082905109,0.0,S,CCCCCCCCC
1.027652682,1.103693489,1.025443545,1.171714677,0.0,S,CCCCCCCCCC
1.0,1.214,1.0,1.0,-1.808,S,CCCCCCCCCCCC
0.998012298,1.005250774,0.999243146,1.001156119,-0.055160977,CCC,CC(C)C
1.000310289,1.007392782,0.999795868,1.003264179,0.03125726,CCC,CCCC
0.994364425,1.0032695,1.040459289,0.999432118,0.0,CCC,CCC(C)C
0.996484021,1.008344412,1.044919431,1.019921513,0.0,CCC,CCCCC
0.992,0.922,1.0,1.0,2.715,CCC,CO
1.0,1.025657518,1.0,1.057872566,0.0,CCC,CCCCCC
1.016,0.998,1.064,0.964,1.15,CCC,CCO
1.0,1.050044169,1.0,1.079648053,0.0,CCC,CCCCCCC
1.0,0.600340961,1.0,1.011759763,0.0,CCC,O
1.0,1.063694129,1.0,1.102764612,0.0,CCC,CCCCCCCC
1.0,1.109973833,1.0,1.199769134,0.0,CCC,CCCCCCCCC
0.985331233,1.140905252,0.984104227,1.053040574,0.0,CCC,CCCCCCCCCC
1.107297088,0.8395,1.0,1.3341,-0.08997,N,C1CCCCC1
1.00431857,0.9862,1.0,1.072,0.736,COC,CO
1.005025126,1.0417,1.0,1.1286,-1.2836,COC,CCO
1.0,0.9794,1.0,1.0,1.0,COC,COC(=O)OC
0.999922459,1.001432824,0.999120311,1.00041444,-0.055124029,CC(C)C,CCCC
1.0,1.001835788,1.0,1.002284353,0.0,CC(C)C,CCC(C)C
1.0,1.002495889,1.0,1.002779804,0.0,CC(C)C,CCCCC
1.0,1.006018054,1.0,1.010493989,0.0,CC(C)C,CCCCCC
1.0,1.00988576,1.0,1.021668316,0.0,CC(C)C,CCCCCCC
1.0,1.0,1.0,1.0,0.0,CC(C)C,O
1.0,1.013945424,1.0,1.032807063,0.0,CC(C)C,CCCCCCCC
1.0,1.017817492,1.0,1.047298475,0.0,CC(C)C,CCCCCCCCC
1.0,1.021624748,1.0,1.060243344,0.0,CC(C)C,CCCCCCCCCC
1.0,1.000792201,1.0,1.002728434,0.0,CCCC,CCC(C)C
1.0,1.00214364,1.0,1.01815965,0.0,CCCC,CCCCC
1.037,0.872,1.0,1.0,1.068,CCCC,CO
1.0,1.00915706,1.0,1.034995284,0.0,CCCC,CCCCCC
1.0,1.021283378,1.0,1.019174227,0.0,CCCC,CCCCCCC
1.0,0.615512682,1.0,1.223638763,0.0,CCCC,O
1.0,1.033180106,1.0,1.046905515,0.0,CCCC,CCCCCCCC
1.0,1.014096448,1.0,1.049219137,0.0,CCCC,CCCCCCCCC
0.993688386,1.076466918,0.976951968,1.027845529,0.0,CCCC,CCCCCCCCCC
1.0,1.000050537,1.0,1.000024335,0.0,CCC(C)C,CCCCC
1.0,1.001204174,1.0,1.002995876,0.0,CCC(C)C,CCCCCC
1.0,1.003194615,1.0,1.009928206,0.0,CCC(C)C,CCCCCCC
1.0,1.0,1.0,1.0,0.0,CCC(C)C,O
1.0,1.00564748,1.0,1.017880545,0.0,CCC(C)C,CCCCCCCC
1.0,1.008191499,1.0,1.028994325,0.0,CCC(C)C,CCCCCCCCC
1.0,1.010825138,1.0,1.039372957,0.0,CCC(C)C,CCCCCCCCCC
1.0,1.000761237,1.0,1.002480637,0.0,CCCCC,CCCCCC
1.0,1.002441051,1.0,1.008972412,0.0,CCCCC,CCCCCCC
1.0,0.447666011,1.0,0.95667731,0.0,CCCCC,O
1.0,1.016422347,1.0,1.069223964,0.0,CCCCC,CCCCCCCC
1.0,1.103421755,1.0,1.034910633,0.0,CCCCC,CCCCCCCCC
1.0,1.049035838,1.0,1.016370338,0.0,CCCCC,CCCCCCCCCC
1.0,0.9335,1.0,0.9903,-0.5274,CC(C)=O,C1CCCCC1
0.947867299,0.764,1.0,1.183,5.902,CO,Cc1ccccc1
1.095290252,1.047,1.0,0.957,-7.124,CO,CCCCCCCCCC
0.9942,1.0691,1.0723,0.8637,-1.703,CO,OCCO
1.0,0.991,1.0,0.999,-0.92,CCCCCC,c1ccccc1
1.0,1.002,1.0,0.9979,-0.3672,CCCCCC,C1CCCCC1
1.0,0.9365,1.0,1.0,-0.382,CCCCCC,COC(=O)OC
1.0,0.999762786,1.0,1.001508227,0.0,CCCCCC,CCCCCCC
1.0,0.569681333,1.0,1.170217596,0.0,CCCCCC,O
1.0,0.988,1.0,1.0,-0.213,CCCCCC,Cc1ccccc1
1.0,1.001633952,1.0,1.006268954,0.0,CCCCCC,CCCCCCCC
1.0,1.055369591,1.0,1.02076168,0.0,CCCCCC,CCCCCCCCC
0.99764101,1.028939539,1.001516371,1.013511439,0.0,CCCCCC,CCCCCCCCCC
0.991,1.027,1.0,1.038,1.14,CCCCCC,CCCCCCCCCCCC
0.981354269,0.92,0.997008973,0.97,-0.162,CCO,c1ccccc1
0.982318271,0.904,1.0,1.0,0.282,CCO,Cc1ccccc1
1.0,1.0174,1.0,0.9095,0.3312,CCO,OCCO
1.0,0.9933,1.0,1.0,-0.6475,c1ccccc1,C1CCCCC1
1.0,0.987,1.0,1.007,-0.675,c1ccccc1,CCCCCCC
1.0,1.0,1.0,1.004,0.068,c1ccccc1,Cc1ccccc1
1.0,0.994,1.0,1.016,-0.924,c1ccccc1,CCCCCCCC
1.005025126,1.0,1.0,1.0,-1.193,c1ccccc1,CCCCCCCCC
1.008064516,1.052,1.0,1.0,-2.444,c1ccccc1,CCCCCCCCCC
1.0,1.0,1.0,1.0015,-0.2539,C1CCCCC1,CCCCCCC
1.0,1.0,1.0,0.9979,0.5865,C1CCCCC1,Cc1ccccc1
1.0,1.008,1.0,1.0069,-0.358,C1CCCCC1,CCCCCCCC
1.0,1.015,1.0,1.009,-0.358,C1CCCCC1,CCCCCCCCC
1.0,1.025,1.0,1.012,-0.358,C1CCCCC1,CCCCCCCCCC
1.0,1.04,1.0,1.014,-0.358,C1CCCCC1,CCCCCCCCCCC
1.0,1.0548,1.0,1.0167,-0.358,C1CCCCC1,CCCCCCCCCCCC
1.0,1.0,1.0,1.0,0.0,CCCCCCC,O
1.0,0.998793111,1.0,1.006767176,0.0,CCCCCCC,CCCCCCCC
1.0,1.001150096,1.0,1.001370076,0.0,CCCCCCC,CCCCCCCCC
1.0,1.002229938,1.0,1.002972346,0.0,CCCCCCC,CCCCCCCCCC
1.0,0.662072469,1.0,0.599484191,0.0,O,CCCCCCCC
1.0,1.0,1.0,1.0,0.0,O,CCCCCCCCC
1.114625565,0.740416402,1.0,0.551405318,0.0,O,CCCCCCCCCC
1.0,0.996,1.0,1.0,-0.704,Cc1ccccc1,CCCCCCCC
1.0,1.0,1.0,1.0,-1.06,Cc1ccccc1,CCCCCCCCC
1.0,1.026,1.0,1.0,-1.395,Cc1ccccc1,CCCCCCCCCC
1.0,1.000235044,1.0,1.001357085,0.0,CCCCCCCC,CCCCCCCCC
1.0,1.007186267,1.0,1.002553544,0.0,CCCCCCCC,CCCCCCCCCC
1.0,1.000182392,1.0,1.00081052,0.0,CCCCCCCCC,CCCCCCCCCC
0.999,1.01,1.0,1.005,0.15,CCCCCCCCC,CCCCCCCCCCCC
1.0,0.998,1.0,1.005,0.35,CCCCCCCCCC,CCCCCCCCCCCC
